category,item_name,description,price,currency,sort_order
אוכל,פיצה בצק מחמצת,תוספת זיתים/פטריות 10 ₪,80,₪,1
אוכל,אדממה,,50,₪,2
אוכל,עלי גפן,8 יח׳,50,₪,3
אוכל,צ׳יפס,,45,₪,4
אוכל,פוטטוס,,45,₪,5
אוכל,פלטת גבינות,כ-300 גר׳  קרקרים,110,₪,6
אוכל,טבעות בצל,8 יח׳,30,₪,7
ויסקי,גלנפידיך 12,,30 / 60,₪,8
ויסקי,מילק & האני,,30 /60,₪,9
ויסקי,ויסקי יפני ס.מאלט,,25/50,₪,10
ויסקי,לוך ארד,,25/50,₪,11
ויסקי,קאוואלן,,40 / 80,₪,12
ויסקי,שיבאס,,25 / 50,₪,13
ויסקי,ג׳יימסון,,20 / 45,₪,14
ויסקי,סאוטרן קומפורט,,20 / 50,₪,15
ויסקי,רויאל סלוט 21,,85 / 170,₪,16
ויסקי,ג׳ים בים,,20 / 40,₪,17
ויסקי,ג׳ק דניאלס,,25 / 50,₪,18
ויסקי,בושמילס,,25 / 50,₪,19
ויסקי,בלאק,,25 / 50,₪,20
ויסקי,טילינג סינגל מאלט,,25 /50,₪,21
ויסקי,ג׳וני ווקר בלאק לייבל,,25 / 50,₪,22
ויסקי,גלנליווט 12,,30 / 60,₪,23
ויסקי,גלנליווט טריפל קאסק,,30 / 60,₪,24
ויסקי,גלנמורנג׳י 10,,25 / 50,₪,25
ויסקי,גלנמורנג׳י 12,,30 / 60,₪,26
ויסקי,מקאלן 12,,50 / 100,₪,27
ויסקי,מקאלן 15,,105 / 210,₪,28
קוניאק,NAULIN XO,,50 / 100,₪,29
קוניאק,GODET VSOP,,25 / 50,₪,30
קוניאק,ROLAND BRU VSOP,,30 / 60,₪,31
קוניאק,דוידוף,,190,₪,32
בירה,חבית: מלכה הינדי IPA,,40 / 45,₪,33
בירה,חבית: מלכה אדמונית,,37 / 42,₪,34
בירה,חבית: מלכה חיטה,,37 / 42,₪,35
בירה,חבית: שוף CHOUFFE,,40 / 45,₪,36
בירה,בקבוק: קורונה,,32,₪,37
בירה,בקבוק: גולדסטאר,,32,₪,38
יין לבן,סביניון בלאן,,50 / 190,₪,39
יין לבן,פינו גריגו,,50 / 190,₪,40
יין לבן,שרדונה,,50 / 190,₪,41
יין לבן,שאבלי,,60 / 220,₪,42
יין לבן,קאווה,,40 / 150,₪,43
יין אדום,מרלו,,50 / 190,₪,44
יין אדום,מלבק,,50 / 190,₪,45
יין אדום,קברנה סוביניון,,50 / 190,₪,46
יין אדום,רוזה,,50 / 190,₪,47
יין אדום,סנגריה קר \ חם,,45 / 50,₪,48
יין אדום,שיראז,,55 / 200,₪,49
טקילה,פטרון סילבר,,30 / 60,₪,50
טקילה,1800 רפוסאדו,,30 / 60,₪,51
טקילה,חוסה קוארוו,,25 / 50,₪,52
טקילה,אזול,,140 / 280,₪,53
ג׳ין,גורדון,,25 / 50,₪,54
ג׳ין,הנדריקס / בומביי,,30 / 60,₪,55
ג׳ין,טינקרס / לונדון,,30 / 60,₪,56
ג׳ין,תוספת משקה קל,,10,₪,57
וודקה,וודקה,,25 / 50,₪,58
וודקה,וודקה פרימיום,,30 / 60,₪,59
קוקטיילים,ג'ין טוניק,,60,₪,60
קוקטיילים,מרגריטה,,60,₪,61
קוקטיילים,מוחיטו,,60,₪,62
קוקטיילים,טקילה סאנרייז,,60,₪,63
קוקטיילים,נגרוני,,60,₪,64
קוקטיילים,קמפרי תפוזים,,55,₪,65
קוקטיילים,אפרול שפריץ,,55,₪,66
קוקטיילים,פיוז׳ן,,60,₪,67
קוקטיילים,מוסקוט מיול,,60,₪,68
קוקטיילים,,,,₪,69
קוקטיילים,וודקה פרימיום + XL,,70,₪,70
קוקטיילים,וודקה + XL,,60,₪,71
וורמוט,גנצ׳יה רוסו,,40,₪,72
וורמוט,גנצ׳יה בלאנק,,40,₪,73
ליקר,לימונצ׳לו,,20/40,₪,74
ליקר,ייגרמייסטר,,20/40,₪,75
ליקר,פידג׳,,20 / 40,₪,76
ליקר,קואנטרו,,20 / 40,₪,77
אניס,ערק,,20 / 40,₪,78
אניס,אוזו,,25 / 50,₪,79
אניס,תוספת משקה קל,,10,₪,80
רום,בקרדי,,40,₪,81
רום,קפטן מורגן לבן/ספייסיד,,50,₪,82
רום,תוספת משקה קל,,10,₪,83
רום,תוספת XL,,15,₪,84
שתיה חמה,אספרסו,,12,₪,85
שתיה חמה,אמריקנו,,15,₪,86
שתיה חמה,תה,,15,₪,87
שתיה קלה,תפוזים/לימונדה/אשכוליות,,12,₪,88
שתיה קלה,קולה/זירו/ספרייט זירו,,15,₪,89
שתיה קלה,מים מינרליים,,10,₪,90
שתיה קלה,סודה,,12,₪,91
שתיה קלה,משקה אנרגיה,,15,₪,92
שתיה קלה,מי טוניק,,15,₪,93
שתיה קלה,מיץ חמוציות,,15,₪,94
שתיה קלה,בקבוק תפוזים קטן,,15,₪,95
